title,url,description,category
Colonial (Government) Architect index 1837-1970,https://mhnsw.au/indexes/architecture-and-design/colonial-architect-index/,"Designed for researching the history of public buildings. Most records that are more than 30 years old are open to public access. Those that relate to security buildings are subject to a closed to public access direction, AD 28",Architecture & design
Infirm & destitute (Government) asylums index 1880-1896,https://mhnsw.au/indexes/asylums/infirm-destitute-asylums-index/,"This index relates to persons admitted to Government Asylums. It shows name and age of patient; some details of their history, such as place of birth, date of arrival in colonies, and occupation",Asylums
Bankruptcy index 1888-1929,https://mhnsw.au/indexes/bankruptcy-and-insolvency/bankruptcy-index/,Bankruptcy is a state in which a person is unable to pay creditors and is required to undergo a legal process that usually results in liquidation of his/her estate in order to meet expenses (at least in part).,Bankruptcy & insolvency
Insolvency index 1842-1887,https://mhnsw.au/indexes/bankruptcy-and-insolvency/insolvency-index/,Insolvency is the inability to pay debts or meet expenses. Under early colonial law insolvency was treated as a different concept to bankruptcy (which involved an insolvents assets being administered and distributed to creditors),Bankruptcy & insolvency
Bubonic plague index 1900-1908,https://mhnsw.au/indexes/bubonic-plague/bubonic-plague-index/,The Register of Cases of Bubonic Plague 1900-1908 records the names and residences of those suffering from the plague and their fate as to whether they died or recovered from this fearful disease. ,Bubonic plague
Register of Firms index 1903-1922,https://mhnsw.au/indexes/business-and-company-records/register-of-firms-index/,"Index to owners of firms Registered under the Firms Act, 1902 covering 1903-1922
",Business & company records
Devonshire Street Cemetery reinterment index,https://mhnsw.au/indexes/cemeteries-and-burials/devonshire-street-cemetery-reinterment-index/,"This index is to the Devonshire Street Cemetery Reinterment Register. The Register covers details of remains, and in some cases monuments, from Devonshire Street Cemetery following its resumption to make way for the development of Central Railway Station",Cemeteries & burials
Census - 1841,https://mhnsw.au/indexes/census-and-musters/census-1841/,The 1841 Census lists all the surviving householders' returns (heads of households only) and abstracts of returns,Census & musters
Child care and protection index 1817-1942,https://mhnsw.au/indexes/child-care-and-protection/child-care-and-protection-index/,This index combines: Mittagong Farm home for Boys (1907-1921); Randwick Asylum for Destitute Children (1852-1915); Orphan schools records (1817-1886) and Industrial schools records (1867-1942),Child care & protection
Dependent children registers 1883-1923,https://mhnsw.au/indexes/child-care-and-protection/dependent-children-registers/,These records relate to children who were admitted to State care between 1883 and 1923. They record where the dependent children were placed (whether with foster parents or guardians). Some of the children were eventually adopted,Child care & protection
